Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C)
UNIVERSITY OF CALGARY,1/27/1990,1990,1,27,0,-16
UNIVERSITY OF CALGARY,1/28/1990,1990,1,28,0.5,-9
UNIVERSITY OF CALGARY,1/29/1990,1990,1,29,-18.5,-22.5
UNIVERSITY OF CALGARY,1/30/1990,1990,1,30,-26,-28
UNIVERSITY OF CALGARY,1/31/1990,1990,1,31,-26,-30.5
UNIVERSITY OF CALGARY,2/1/1990,1990,2,1,-9.5,-30.5
UNIVERSITY OF CALGARY,2/2/1990,1990,2,2,4,-22.5
UNIVERSITY OF CALGARY,2/3/1990,1990,2,3,9,-4
UNIVERSITY OF CALGARY,2/4/1990,1990,2,4,1.5,-7.5
UNIVERSITY OF CALGARY,2/5/1990,1990,2,5,3.5,-12
UNIVERSITY OF CALGARY,2/6/1990,1990,2,6,1.5,-7
UNIVERSITY OF CALGARY,2/7/1990,1990,2,7,0,-16
UNIVERSITY OF CALGARY,2/8/1990,1990,2,8,-4,-11
UNIVERSITY OF CALGARY,2/9/1990,1990,2,9,4.5,-16
UNIVERSITY OF CALGARY,2/10/1990,1990,2,10,9,-2
UNIVERSITY OF CALGARY,2/11/1990,1990,2,11,6.5,-6
UNIVERSITY OF CALGARY,2/12/1990,1990,2,12,-16.5,-21
UNIVERSITY OF CALGARY,2/13/1990,1990,2,13,-18,-27
UNIVERSITY OF CALGARY,2/14/1990,1990,2,14,-5,-27.5
UNIVERSITY OF CALGARY,2/15/1990,1990,2,15,-16.5,-22
UNIVERSITY OF CALGARY,2/16/1990,1990,2,16,-24.5,-27
UNIVERSITY OF CALGARY,2/17/1990,1990,2,17,-8.5,-32.5
UNIVERSITY OF CALGARY,2/18/1990,1990,2,18,-2.5,-20
UNIVERSITY OF CALGARY,2/19/1990,1990,2,19,9,-10
UNIVERSITY OF CALGARY,2/20/1990,1990,2,20,7.5,-0.5
UNIVERSITY OF CALGARY,2/21/1990,1990,2,21,8,-7.5
UNIVERSITY OF CALGARY,2/22/1990,1990,2,22,12,-4
UNIVERSITY OF CALGARY,2/23/1990,1990,2,23,5.5,-2
UNIVERSITY OF CALGARY,2/24/1990,1990,2,24,6,-4
UNIVERSITY OF CALGARY,2/25/1990,1990,2,25,10,-2.5
UNIVERSITY OF CALGARY,2/26/1990,1990,2,26,1,-6.5
UNIVERSITY OF CALGARY,2/27/1990,1990,2,27,10,-8.5
UNIVERSITY OF CALGARY,2/28/1990,1990,2,28,16,-3.5
UNIVERSITY OF CALGARY,3/1/1990,1990,3,1,12.5,-2.5
UNIVERSITY OF CALGARY,3/2/1990,1990,3,2,13.5,-6
UNIVERSITY OF CALGARY,3/3/1990,1990,3,3,11.5,-3.5
UNIVERSITY OF CALGARY,3/4/1990,1990,3,4,8.5,-2
UNIVERSITY OF CALGARY,3/5/1990,1990,3,5,10.5,-3
UNIVERSITY OF CALGARY,3/6/1990,1990,3,6,12.5,-3.5
UNIVERSITY OF CALGARY,3/7/1990,1990,3,7,10.5,-2.5
UNIVERSITY OF CALGARY,3/8/1990,1990,3,8,7.5,-3.5
UNIVERSITY OF CALGARY,3/9/1990,1990,3,9,4,-10
UNIVERSITY OF CALGARY,3/10/1990,1990,3,10,12.5,-1.5
UNIVERSITY OF CALGARY,3/11/1990,1990,3,11,-1.5,-5
UNIVERSITY OF CALGARY,3/12/1990,1990,3,12,1,-6
UNIVERSITY OF CALGARY,3/13/1990,1990,3,13,7.5,-7
UNIVERSITY OF CALGARY,3/14/1990,1990,3,14,9,-6.5
UNIVERSITY OF CALGARY,3/15/1990,1990,3,15,8,-3
UNIVERSITY OF CALGARY,3/16/1990,1990,3,16,7.5,-4
UNIVERSITY OF CALGARY,3/17/1990,1990,3,17,4,-5
UNIVERSITY OF CALGARY,3/18/1990,1990,3,18,13,-7
UNIVERSITY OF CALGARY,3/19/1990,1990,3,19,13,-0.5
UNIVERSITY OF CALGARY,3/20/1990,1990,3,20,2.5,-4
UNIVERSITY OF CALGARY,3/21/1990,1990,3,21,-3.5,-9.5
UNIVERSITY OF CALGARY,3/22/1990,1990,3,22,-9,-16.5
UNIVERSITY OF CALGARY,3/23/1990,1990,3,23,-5,-17.5
UNIVERSITY OF CALGARY,3/24/1990,1990,3,24,8,-13.5
UNIVERSITY OF CALGARY,3/25/1990,1990,3,25,6,-7.5
UNIVERSITY OF CALGARY,3/26/1990,1990,3,26,12.5,-3
UNIVERSITY OF CALGARY,3/27/1990,1990,3,27,7.5,-3
UNIVERSITY OF CALGARY,3/28/1990,1990,3,28,14,-5.5
UNIVERSITY OF CALGARY,3/29/1990,1990,3,29,18,-2.5
UNIVERSITY OF CALGARY,3/30/1990,1990,3,30,17,-1
UNIVERSITY OF CALGARY,3/31/1990,1990,3,31,6,2
UNIVERSITY OF CALGARY,4/1/1990,1990,4,1,16,2
UNIVERSITY OF CALGARY,4/2/1990,1990,4,2,18.5,4
UNIVERSITY OF CALGARY,4/3/1990,1990,4,3,10.5,1.5
UNIVERSITY OF CALGARY,4/4/1990,1990,4,4,0.5,-1.5
UNIVERSITY OF CALGARY,4/5/1990,1990,4,5,9,-6
UNIVERSITY OF CALGARY,4/6/1990,1990,4,6,12,-2
UNIVERSITY OF CALGARY,4/7/1990,1990,4,7,12,0
UNIVERSITY OF CALGARY,4/8/1990,1990,4,8,-0.5,-6
UNIVERSITY OF CALGARY,4/9/1990,1990,4,9,-3.5,-9
UNIVERSITY OF CALGARY,4/10/1990,1990,4,10,0,-13.5
UNIVERSITY OF CALGARY,4/11/1990,1990,4,11,6,-10
UNIVERSITY OF CALGARY,4/12/1990,1990,4,12,9.5,-2
UNIVERSITY OF CALGARY,4/13/1990,1990,4,13,14,-3.5
UNIVERSITY OF CALGARY,4/14/1990,1990,4,14,14,2
UNIVERSITY OF CALGARY,4/15/1990,1990,4,15,13,-1
UNIVERSITY OF CALGARY,4/16/1990,1990,4,16,9.5,-2
UNIVERSITY OF CALGARY,4/17/1990,1990,4,17,17.5,-6
UNIVERSITY OF CALGARY,4/18/1990,1990,4,18,19.5,6
UNIVERSITY OF CALGARY,4/19/1990,1990,4,19,20,4.5
UNIVERSITY OF CALGARY,4/20/1990,1990,4,20,18.5,7
UNIVERSITY OF CALGARY,4/21/1990,1990,4,21,19.5,5
UNIVERSITY OF CALGARY,4/22/1990,1990,4,22,17.5,3
UNIVERSITY OF CALGARY,4/23/1990,1990,4,23,15,6
UNIVERSITY OF CALGARY,4/24/1990,1990,4,24,16.5,-2
UNIVERSITY OF CALGARY,4/25/1990,1990,4,25,12,-2.5
UNIVERSITY OF CALGARY,4/26/1990,1990,4,26,2.5,-1
UNIVERSITY OF CALGARY,4/27/1990,1990,4,27,1.5,-2.5
UNIVERSITY OF CALGARY,4/28/1990,1990,4,28,-1.5,-5
UNIVERSITY OF CALGARY,4/29/1990,1990,4,29,3.5,-4
UNIVERSITY OF CALGARY,4/30/1990,1990,4,30,12.5,-3
UNIVERSITY OF CALGARY,5/1/1990,1990,5,1,14.5,0.5
UNIVERSITY OF CALGARY,5/2/1990,1990,5,2,13,3
UNIVERSITY OF CALGARY,5/3/1990,1990,5,3,18,3
UNIVERSITY OF CALGARY,5/4/1990,1990,5,4,21,3
UNIVERSITY OF CALGARY,5/5/1990,1990,5,5,25,6.5
UNIVERSITY OF CALGARY,5/6/1990,1990,5,6,20,3.5
UNIVERSITY OF CALGARY,5/7/1990,1990,5,7,9.5,-1.5
UNIVERSITY OF CALGARY,5/8/1990,1990,5,8,7,-3.5
UNIVERSITY OF CALGARY,5/9/1990,1990,5,9,13,-2.5
UNIVERSITY OF CALGARY,5/10/1990,1990,5,10,12,1.5
UNIVERSITY OF CALGARY,5/11/1990,1990,5,11,8.5,1
UNIVERSITY OF CALGARY,5/12/1990,1990,5,12,7,0
UNIVERSITY OF CALGARY,5/13/1990,1990,5,13,12,1
UNIVERSITY OF CALGARY,5/14/1990,1990,5,14,11,0
UNIVERSITY OF CALGARY,5/15/1990,1990,5,15,11,1
UNIVERSITY OF CALGARY,5/16/1990,1990,5,16,13,0.5
UNIVERSITY OF CALGARY,5/17/1990,1990,5,17,14.5,-0.5
UNIVERSITY OF CALGARY,5/18/1990,1990,5,18,12.5,3
UNIVERSITY OF CALGARY,5/19/1990,1990,5,19,13.5,1.5
UNIVERSITY OF CALGARY,5/20/1990,1990,5,20,15,1
UNIVERSITY OF CALGARY,5/21/1990,1990,5,21,13.5,6
UNIVERSITY OF CALGARY,5/22/1990,1990,5,22,19.5,0
UNIVERSITY OF CALGARY,5/23/1990,1990,5,23,22.5,5.5
UNIVERSITY OF CALGARY,5/24/1990,1990,5,24,13.5,10
UNIVERSITY OF CALGARY,5/25/1990,1990,5,25,13.5,10
UNIVERSITY OF CALGARY,5/26/1990,1990,5,26,13.5,6
UNIVERSITY OF CALGARY,5/27/1990,1990,5,27,15,4.5
UNIVERSITY OF CALGARY,5/28/1990,1990,5,28,15.5,4
UNIVERSITY OF CALGARY,5/29/1990,1990,5,29,17,11
UNIVERSITY OF CALGARY,5/30/1990,1990,5,30,17.5,11.5
UNIVERSITY OF CALGARY,5/31/1990,1990,5,31,20,5
UNIVERSITY OF CALGARY,6/1/1990,1990,6,1,16.5,10
UNIVERSITY OF CALGARY,6/2/1990,1990,6,2,8,4.5
UNIVERSITY OF CALGARY,6/3/1990,1990,6,3,17.5,5
UNIVERSITY OF CALGARY,6/4/1990,1990,6,4,15.5,4
UNIVERSITY OF CALGARY,6/5/1990,1990,6,5,15,6
UNIVERSITY OF CALGARY,6/6/1990,1990,6,6,17.5,7
UNIVERSITY OF CALGARY,6/7/1990,1990,6,7,16,6
UNIVERSITY OF CALGARY,6/8/1990,1990,6,8,19,8.5
UNIVERSITY OF CALGARY,6/9/1990,1990,6,9,21,6
UNIVERSITY OF CALGARY,6/10/1990,1990,6,10,18,9.5
UNIVERSITY OF CALGARY,6/11/1990,1990,6,11,12.5,5
UNIVERSITY OF CALGARY,6/12/1990,1990,6,12,12,5.5
UNIVERSITY OF CALGARY,6/13/1990,1990,6,13,13,4.5
UNIVERSITY OF CALGARY,6/14/1990,1990,6,14,16,4.5
UNIVERSITY OF CALGARY,6/15/1990,1990,6,15,19.5,2.5
UNIVERSITY OF CALGARY,6/16/1990,1990,6,16,19.5,5.5
UNIVERSITY OF CALGARY,6/17/1990,1990,6,17,19,8
UNIVERSITY OF CALGARY,6/18/1990,1990,6,18,22,7.5
UNIVERSITY OF CALGARY,6/19/1990,1990,6,19,21.5,7.5
UNIVERSITY OF CALGARY,6/20/1990,1990,6,20,16,9
UNIVERSITY OF CALGARY,6/21/1990,1990,6,21,23,5
UNIVERSITY OF CALGARY,6/22/1990,1990,6,22,25.5,8
UNIVERSITY OF CALGARY,6/23/1990,1990,6,23,26.5,14
UNIVERSITY OF CALGARY,6/24/1990,1990,6,24,22,10.5
UNIVERSITY OF CALGARY,6/25/1990,1990,6,25,26.5,10
UNIVERSITY OF CALGARY,6/26/1990,1990,6,26,26,11.5
UNIVERSITY OF CALGARY,6/27/1990,1990,6,27,22,10
UNIVERSITY OF CALGARY,6/28/1990,1990,6,28,21,8
UNIVERSITY OF CALGARY,6/29/1990,1990,6,29,22,7
UNIVERSITY OF CALGARY,6/30/1990,1990,6,30,24.5,12
UNIVERSITY OF CALGARY,7/1/1990,1990,7,1,,
UNIVERSITY OF CALGARY,7/2/1990,1990,7,2,,
UNIVERSITY OF CALGARY,7/3/1990,1990,7,3,,
UNIVERSITY OF CALGARY,7/4/1990,1990,7,4,,
UNIVERSITY OF CALGARY,7/5/1990,1990,7,5,,
UNIVERSITY OF CALGARY,7/6/1990,1990,7,6,,
UNIVERSITY OF CALGARY,7/7/1990,1990,7,7,,
UNIVERSITY OF CALGARY,7/8/1990,1990,7,8,,
UNIVERSITY OF CALGARY,7/9/1990,1990,7,9,,
UNIVERSITY OF CALGARY,7/10/1990,1990,7,10,,
UNIVERSITY OF CALGARY,7/11/1990,1990,7,11,,
UNIVERSITY OF CALGARY,7/12/1990,1990,7,12,,
UNIVERSITY OF CALGARY,7/13/1990,1990,7,13,,
UNIVERSITY OF CALGARY,7/14/1990,1990,7,14,,
UNIVERSITY OF CALGARY,7/15/1990,1990,7,15,,
UNIVERSITY OF CALGARY,7/16/1990,1990,7,16,,
UNIVERSITY OF CALGARY,7/17/1990,1990,7,17,,
UNIVERSITY OF CALGARY,7/18/1990,1990,7,18,,
UNIVERSITY OF CALGARY,7/19/1990,1990,7,19,,
UNIVERSITY OF CALGARY,7/20/1990,1990,7,20,,
UNIVERSITY OF CALGARY,7/21/1990,1990,7,21,,
UNIVERSITY OF CALGARY,7/22/1990,1990,7,22,,
UNIVERSITY OF CALGARY,7/23/1990,1990,7,23,,
UNIVERSITY OF CALGARY,7/24/1990,1990,7,24,,
UNIVERSITY OF CALGARY,7/25/1990,1990,7,25,,
UNIVERSITY OF CALGARY,7/26/1990,1990,7,26,,
UNIVERSITY OF CALGARY,7/27/1990,1990,7,27,,
UNIVERSITY OF CALGARY,7/28/1990,1990,7,28,,
UNIVERSITY OF CALGARY,7/29/1990,1990,7,29,,
UNIVERSITY OF CALGARY,7/30/1990,1990,7,30,,
UNIVERSITY OF CALGARY,7/31/1990,1990,7,31,,
UNIVERSITY OF CALGARY,8/1/1990,1990,8,1,,
UNIVERSITY OF CALGARY,8/2/1990,1990,8,2,,
UNIVERSITY OF CALGARY,8/3/1990,1990,8,3,,
UNIVERSITY OF CALGARY,8/4/1990,1990,8,4,,
UNIVERSITY OF CALGARY,8/5/1990,1990,8,5,,
UNIVERSITY OF CALGARY,8/6/1990,1990,8,6,,
UNIVERSITY OF CALGARY,8/7/1990,1990,8,7,,
UNIVERSITY OF CALGARY,8/8/1990,1990,8,8,,
UNIVERSITY OF CALGARY,8/9/1990,1990,8,9,,
UNIVERSITY OF CALGARY,8/10/1990,1990,8,10,,
UNIVERSITY OF CALGARY,8/11/1990,1990,8,11,,
UNIVERSITY OF CALGARY,8/12/1990,1990,8,12,,
UNIVERSITY OF CALGARY,8/13/1990,1990,8,13,,
UNIVERSITY OF CALGARY,8/14/1990,1990,8,14,,
UNIVERSITY OF CALGARY,8/15/1990,1990,8,15,,
UNIVERSITY OF CALGARY,8/16/1990,1990,8,16,,
UNIVERSITY OF CALGARY,8/17/1990,1990,8,17,,
UNIVERSITY OF CALGARY,8/18/1990,1990,8,18,,
UNIVERSITY OF CALGARY,8/19/1990,1990,8,19,,
UNIVERSITY OF CALGARY,8/20/1990,1990,8,20,,
UNIVERSITY OF CALGARY,8/21/1990,1990,8,21,,
UNIVERSITY OF CALGARY,8/22/1990,1990,8,22,,
UNIVERSITY OF CALGARY,8/23/1990,1990,8,23,,
UNIVERSITY OF CALGARY,8/24/1990,1990,8,24,,
UNIVERSITY OF CALGARY,8/25/1990,1990,8,25,,
UNIVERSITY OF CALGARY,8/26/1990,1990,8,26,,
UNIVERSITY OF CALGARY,8/27/1990,1990,8,27,,
UNIVERSITY OF CALGARY,8/28/1990,1990,8,28,,
UNIVERSITY OF CALGARY,8/29/1990,1990,8,29,,
UNIVERSITY OF CALGARY,8/30/1990,1990,8,30,,
UNIVERSITY OF CALGARY,8/31/1990,1990,8,31,,
UNIVERSITY OF CALGARY,9/1/1990,1990,9,1,,
UNIVERSITY OF CALGARY,9/2/1990,1990,9,2,,
UNIVERSITY OF CALGARY,9/3/1990,1990,9,3,,
UNIVERSITY OF CALGARY,9/4/1990,1990,9,4,,
UNIVERSITY OF CALGARY,9/5/1990,1990,9,5,,
UNIVERSITY OF CALGARY,9/6/1990,1990,9,6,,
UNIVERSITY OF CALGARY,9/7/1990,1990,9,7,,
UNIVERSITY OF CALGARY,9/8/1990,1990,9,8,,
UNIVERSITY OF CALGARY,9/9/1990,1990,9,9,,
UNIVERSITY OF CALGARY,9/10/1990,1990,9,10,,
UNIVERSITY OF CALGARY,9/11/1990,1990,9,11,,
UNIVERSITY OF CALGARY,9/12/1990,1990,9,12,,
UNIVERSITY OF CALGARY,9/13/1990,1990,9,13,,
UNIVERSITY OF CALGARY,9/14/1990,1990,9,14,,
UNIVERSITY OF CALGARY,9/15/1990,1990,9,15,,
UNIVERSITY OF CALGARY,9/16/1990,1990,9,16,,
UNIVERSITY OF CALGARY,9/17/1990,1990,9,17,,
UNIVERSITY OF CALGARY,9/18/1990,1990,9,18,,
UNIVERSITY OF CALGARY,9/19/1990,1990,9,19,,
UNIVERSITY OF CALGARY,9/20/1990,1990,9,20,,
UNIVERSITY OF CALGARY,9/21/1990,1990,9,21,,
UNIVERSITY OF CALGARY,9/22/1990,1990,9,22,,
UNIVERSITY OF CALGARY,9/23/1990,1990,9,23,,
UNIVERSITY OF CALGARY,9/24/1990,1990,9,24,,
UNIVERSITY OF CALGARY,9/25/1990,1990,9,25,,
UNIVERSITY OF CALGARY,9/26/1990,1990,9,26,,
UNIVERSITY OF CALGARY,9/27/1990,1990,9,27,,
UNIVERSITY OF CALGARY,9/28/1990,1990,9,28,,
UNIVERSITY OF CALGARY,9/29/1990,1990,9,29,,
UNIVERSITY OF CALGARY,9/30/1990,1990,9,30,,
UNIVERSITY OF CALGARY,10/1/1990,1990,10,1,,
UNIVERSITY OF CALGARY,10/2/1990,1990,10,2,,
UNIVERSITY OF CALGARY,10/3/1990,1990,10,3,,
UNIVERSITY OF CALGARY,10/4/1990,1990,10,4,,
UNIVERSITY OF CALGARY,10/5/1990,1990,10,5,,
UNIVERSITY OF CALGARY,10/6/1990,1990,10,6,,
UNIVERSITY OF CALGARY,10/7/1990,1990,10,7,,
UNIVERSITY OF CALGARY,10/8/1990,1990,10,8,,
UNIVERSITY OF CALGARY,10/9/1990,1990,10,9,,
UNIVERSITY OF CALGARY,10/10/1990,1990,10,10,,
UNIVERSITY OF CALGARY,10/11/1990,1990,10,11,,
UNIVERSITY OF CALGARY,10/12/1990,1990,10,12,,
UNIVERSITY OF CALGARY,10/13/1990,1990,10,13,,
UNIVERSITY OF CALGARY,10/14/1990,1990,10,14,,
UNIVERSITY OF CALGARY,10/15/1990,1990,10,15,,
UNIVERSITY OF CALGARY,10/16/1990,1990,10,16,,
UNIVERSITY OF CALGARY,10/17/1990,1990,10,17,,
UNIVERSITY OF CALGARY,10/18/1990,1990,10,18,,
UNIVERSITY OF CALGARY,10/19/1990,1990,10,19,,
UNIVERSITY OF CALGARY,10/20/1990,1990,10,20,,
UNIVERSITY OF CALGARY,10/21/1990,1990,10,21,,
UNIVERSITY OF CALGARY,10/22/1990,1990,10,22,,
UNIVERSITY OF CALGARY,10/23/1990,1990,10,23,,
UNIVERSITY OF CALGARY,10/24/1990,1990,10,24,,
UNIVERSITY OF CALGARY,10/25/1990,1990,10,25,,
UNIVERSITY OF CALGARY,10/26/1990,1990,10,26,,
UNIVERSITY OF CALGARY,10/27/1990,1990,10,27,,
UNIVERSITY OF CALGARY,10/28/1990,1990,10,28,,
UNIVERSITY OF CALGARY,10/29/1990,1990,10,29,,
UNIVERSITY OF CALGARY,10/30/1990,1990,10,30,,
UNIVERSITY OF CALGARY,10/31/1990,1990,10,31,,
UNIVERSITY OF CALGARY,11/1/1990,1990,11,1,,
UNIVERSITY OF CALGARY,11/2/1990,1990,11,2,,
UNIVERSITY OF CALGARY,11/3/1990,1990,11,3,,
UNIVERSITY OF CALGARY,11/4/1990,1990,11,4,,
UNIVERSITY OF CALGARY,11/5/1990,1990,11,5,,
UNIVERSITY OF CALGARY,11/6/1990,1990,11,6,,
UNIVERSITY OF CALGARY,11/7/1990,1990,11,7,,
UNIVERSITY OF CALGARY,11/8/1990,1990,11,8,,
UNIVERSITY OF CALGARY,11/9/1990,1990,11,9,,
UNIVERSITY OF CALGARY,11/10/1990,1990,11,10,,
UNIVERSITY OF CALGARY,11/11/1990,1990,11,11,,
UNIVERSITY OF CALGARY,11/12/1990,1990,11,12,,
UNIVERSITY OF CALGARY,11/13/1990,1990,11,13,,
UNIVERSITY OF CALGARY,11/14/1990,1990,11,14,,
UNIVERSITY OF CALGARY,11/15/1990,1990,11,15,,
UNIVERSITY OF CALGARY,11/16/1990,1990,11,16,,
UNIVERSITY OF CALGARY,11/17/1990,1990,11,17,,
UNIVERSITY OF CALGARY,11/18/1990,1990,11,18,,
UNIVERSITY OF CALGARY,11/19/1990,1990,11,19,,
UNIVERSITY OF CALGARY,11/20/1990,1990,11,20,,
UNIVERSITY OF CALGARY,11/21/1990,1990,11,21,,
UNIVERSITY OF CALGARY,11/22/1990,1990,11,22,,
UNIVERSITY OF CALGARY,11/23/1990,1990,11,23,,
UNIVERSITY OF CALGARY,11/24/1990,1990,11,24,,
UNIVERSITY OF CALGARY,11/25/1990,1990,11,25,,
UNIVERSITY OF CALGARY,11/26/1990,1990,11,26,,
UNIVERSITY OF CALGARY,11/27/1990,1990,11,27,,
UNIVERSITY OF CALGARY,11/28/1990,1990,11,28,,
UNIVERSITY OF CALGARY,11/29/1990,1990,11,29,,
UNIVERSITY OF CALGARY,11/30/1990,1990,11,30,,
UNIVERSITY OF CALGARY,12/1/1990,1990,12,1,,
UNIVERSITY OF CALGARY,12/2/1990,1990,12,2,,
UNIVERSITY OF CALGARY,12/3/1990,1990,12,3,,
UNIVERSITY OF CALGARY,12/4/1990,1990,12,4,,
UNIVERSITY OF CALGARY,12/5/1990,1990,12,5,,
UNIVERSITY OF CALGARY,12/6/1990,1990,12,6,,
UNIVERSITY OF CALGARY,12/7/1990,1990,12,7,,
UNIVERSITY OF CALGARY,12/8/1990,1990,12,8,,
UNIVERSITY OF CALGARY,12/9/1990,1990,12,9,,
UNIVERSITY OF CALGARY,12/10/1990,1990,12,10,,
UNIVERSITY OF CALGARY,12/11/1990,1990,12,11,,
UNIVERSITY OF CALGARY,12/12/1990,1990,12,12,,
UNIVERSITY OF CALGARY,12/13/1990,1990,12,13,,
UNIVERSITY OF CALGARY,12/14/1990,1990,12,14,,
UNIVERSITY OF CALGARY,12/15/1990,1990,12,15,,
UNIVERSITY OF CALGARY,12/16/1990,1990,12,16,,
UNIVERSITY OF CALGARY,12/17/1990,1990,12,17,,
UNIVERSITY OF CALGARY,12/18/1990,1990,12,18,,
UNIVERSITY OF CALGARY,12/19/1990,1990,12,19,,
UNIVERSITY OF CALGARY,12/20/1990,1990,12,20,,
UNIVERSITY OF CALGARY,12/21/1990,1990,12,21,,
UNIVERSITY OF CALGARY,12/22/1990,1990,12,22,,
UNIVERSITY OF CALGARY,12/23/1990,1990,12,23,,
UNIVERSITY OF CALGARY,12/24/1990,1990,12,24,,
UNIVERSITY OF CALGARY,12/25/1990,1990,12,25,,
UNIVERSITY OF CALGARY,12/26/1990,1990,12,26,,
UNIVERSITY OF CALGARY,12/27/1990,1990,12,27,,
UNIVERSITY OF CALGARY,12/28/1990,1990,12,28,,
UNIVERSITY OF CALGARY,12/29/1990,1990,12,29,,
UNIVERSITY OF CALGARY,12/30/1990,1990,12,30,,
UNIVERSITY OF CALGARY,12/31/1990,1990,12,31,,
