Sample Site,Sample Date,Parameter,Numeric Result,Result Qualifier,Formatted Result,Result Units
Fish Creek 37th St,8/13/2001 0:00,Water Temperature (Field),15.8,,15.8,°C
Fish Creek 37th St,1/19/2016 10:35,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,6/10/2008 12:00,Water Temperature (Field),8.9,,8.9,°C
Fish Creek 37th St,12/15/2015 11:02,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,1/3/2000 0:00,Water Temperature (Field),-1,,-1,°C
Fish Creek 37th St,3/19/2013 10:38,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,1/21/2014 11:03,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,12/6/2016 10:45,Water Temperature (Field),0.4,,0.4,°C
Fish Creek 37th St,11/13/2012 9:58,Water Temperature (Field),0.9,,0.9,°C
Fish Creek 37th St,5/17/2011 9:20,Water Temperature (Field),7.7,,7.7,°C
Fish Creek 37th St,2/16/2010 10:30,Water Temperature (Field),0.9,,0.9,°C
Fish Creek 37th St,4/21/2015 10:40,Water Temperature (Field),8.6,,8.6,°C
Fish Creek 37th St,6/12/2007 12:00,Water Temperature (Field),12.5,,12.5,°C
Fish Creek 37th St,10/31/2006 0:00,Water Temperature (Field),-0.9,,-0.9,°C
Fish Creek 37th St,3/27/2014 10:30,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,1/25/2005 0:00,Water Temperature (Field),-0.9,,-0.9,°C
Fish Creek 37th St,7/17/2000 0:00,Water Temperature (Field),15.3,,15.3,°C
Fish Creek 37th St,6/16/2015 10:11,Water Temperature (Field),14.7,,14.7,°C
Fish Creek 37th St,7/3/2013 11:33,Water Temperature (Field),20,,20,°C
Fish Creek 37th St,6/7/2016 9:29,Water Temperature (Field),19,,19,°C
Fish Creek 37th St,1/3/2002 0:00,Water Temperature (Field),1.7,,1.7,°C
Fish Creek 37th St,11/5/2001 0:00,Water Temperature (Field),-0.8,,-0.8,°C
Fish Creek 37th St,8/9/2005 0:00,Water Temperature (Field),16.5,,16.5,°C
Fish Creek 37th St,11/30/2004 0:00,Water Temperature (Field),-1.5,,-1.5,°C
Fish Creek 37th St,1/9/2001 0:00,Water Temperature (Field),-0.3,,-0.3,°C
Fish Creek 37th St,7/16/2001 0:00,Water Temperature (Field),18.7,,18.7,°C
Fish Creek 37th St,10/3/2017 9:49,Water Temperature (Field),1.2,,1.2,°C
Fish Creek 37th St,9/7/2016 10:04,Water Temperature (Field),9.9,,9.9,°C
Fish Creek 37th St,6/15/2004 0:00,Water Temperature (Field),12.8,,12.8,°C
Fish Creek 37th St,9/21/2011 11:53,Water Temperature (Field),9.1,,9.1,°C
Fish Creek 37th St,5/29/2000 0:00,Water Temperature (Field),9.3,,9.3,°C
Fish Creek 37th St,1/19/2010 10:10,Water Temperature (Field),1.1,,1.1,°C
Fish Creek 37th St,11/24/2009 10:30,Water Temperature (Field),0.9,,0.9,°C
Fish Creek 37th St,11/19/2013 10:48,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,10/23/2012 10:26,Water Temperature (Field),0.6,,0.6,°C
Fish Creek 37th St,5/20/2014 10:25,Water Temperature (Field),10.5,,10.5,°C
Fish Creek 37th St,10/28/2008 9:40,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,3/18/2008 12:00,Water Temperature (Field),-0.7,,-0.7,°C
Fish Creek 37th St,11/25/2008 10:10,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,8/23/2011 8:59,Water Temperature (Field),14.8,,14.8,°C
Fish Creek 37th St,7/6/2010 10:50,Water Temperature (Field),13.1,,13.1,°C
Fish Creek 37th St,2/24/2003 0:00,Water Temperature (Field),-0.6,,-0.6,°C
Fish Creek 37th St,3/27/2000 0:00,Water Temperature (Field),-1,,-1,°C
Fish Creek 37th St,1/22/2013 10:47,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,6/13/2006 0:00,Water Temperature (Field),12.5,,12.5,°C
Fish Creek 37th St,3/16/2010 10:15,Water Temperature (Field),1.3,,1.3,°C
Fish Creek 37th St,8/27/2013 9:44,Water Temperature (Field),14.9,,14.9,°C
Fish Creek 37th St,1/31/2000 0:00,Water Temperature (Field),1,,1,°C
Fish Creek 37th St,5/13/2008 12:00,Water Temperature (Field),6.2,,6.2,°C
Fish Creek 37th St,3/13/2012 10:57,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,12/4/2000 0:00,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,4/14/2009 11:30,Water Temperature (Field),1.2,,1.2,°C
Fish Creek 37th St,4/22/2002 0:00,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,4/24/2000 0:00,Water Temperature (Field),15,,15,°C
Fish Creek 37th St,5/4/2010 10:35,Water Temperature (Field),4.7,,4.7,°C
Fish Creek 37th St,10/6/2003 0:00,Water Temperature (Field),7.3,,7.3,°C
Fish Creek 37th St,7/22/2014 9:49,Water Temperature (Field),17.1,,17.1,°C
Fish Creek 37th St,12/3/2001 0:00,Water Temperature (Field),1.1,,1.1,°C
Fish Creek 37th St,10/4/2005 0:00,Water Temperature (Field),6,,6,°C
Fish Creek 37th St,12/28/2004 0:00,Water Temperature (Field),-1.7,,-1.7,°C
Fish Creek 37th St,8/11/2003 0:00,Water Temperature (Field),17.5,,17.5,°C
Fish Creek 37th St,12/20/2011 9:54,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,11/25/2015 11:24,Water Temperature (Field),0.4,,0.4,°C
Fish Creek 37th St,1/24/2006 0:00,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,7/19/2011 9:11,Water Temperature (Field),17.7,,17.7,°C
Fish Creek 37th St,12/21/2010 9:46,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,12/18/2013 10:57,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,2/22/2005 0:00,Water Temperature (Field),-1.1,,-1.1,°C
Fish Creek 37th St,4/15/2008 12:00,Water Temperature (Field),-0.3,,-0.3,°C
Fish Creek 37th St,4/19/2005 0:00,Water Temperature (Field),3.3,,3.3,°C
Fish Creek 37th St,3/7/2017 10:56,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,9/17/2012 9:09,Water Temperature (Field),8.8,,8.8,°C
Fish Creek 37th St,9/2/2008 12:00,Water Temperature (Field),9.5,,9.5,°C
Fish Creek 37th St,7/13/2004 0:00,Water Temperature (Field),17.5,,17.5,°C
Fish Creek 37th St,2/28/2000 0:00,Water Temperature (Field),1.5,,1.5,°C
Fish Creek 37th St,1/23/2007 12:00,Water Temperature (Field),0.6,,0.6,°C
Fish Creek 37th St,2/17/2015 11:28,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,9/5/2006 0:00,Water Temperature (Field),11.5,,11.5,°C
Fish Creek 37th St,2/20/2007 12:00,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,1/17/2012 12:36,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,10/21/2013 11:31,Water Temperature (Field),4.8,,4.8,°C
Fish Creek 37th St,11/22/2011 10:51,Water Temperature (Field),0.8,,0.8,°C
Fish Creek 37th St,10/4/2016 11:39,Water Temperature (Field),6.7,,6.7,°C
Fish Creek 37th St,10/2/2007 12:00,Water Temperature (Field),7,,7,°C
Fish Creek 37th St,2/19/2014 10:45,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,12/2/2002 0:00,Water Temperature (Field),-1.2,,-1.2,°C
Fish Creek 37th St,11/27/2007 12:00,Water Temperature (Field),-0.7,,-0.7,°C
Fish Creek 37th St,7/12/2005 0:00,Water Temperature (Field),14.9,,14.9,°C
Fish Creek 37th St,11/7/2017 10:23,Water Temperature (Field),0.4,,0.4,°C
Fish Creek 37th St,9/4/2007 12:00,Water Temperature (Field),13.4,,13.4,°C
Fish Creek 37th St,1/3/2017 11:53,Water Temperature (Field),-0.1,,-0.1,°C
Fish Creek 37th St,5/22/2002 0:00,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,4/9/2012 10:27,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,5/21/2003 0:00,Water Temperature (Field),7.3,,7.3,°C
Fish Creek 37th St,10/27/2009 9:50,Water Temperature (Field),2.3,,2.3,°C
Fish Creek 37th St,1/20/2015 11:33,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,5/1/2017 9:53,Water Temperature (Field),6.3,,6.3,°C
Fish Creek 37th St,11/23/2010 10:50,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,6/14/2005 0:00,Water Temperature (Field),11.5,,11.5,°C
Fish Creek 37th St,2/2/2016 10:28,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,12/27/2005 0:00,Water Temperature (Field),-0.7,,-0.7,°C
Fish Creek 37th St,7/21/2015 10:30,Water Temperature (Field),18.8,,18.8,°C
Fish Creek 37th St,9/6/2017 10:08,Water Temperature (Field),12.9,,12.9,°C
Fish Creek 37th St,11/28/2006 0:00,Water Temperature (Field),-0.7,,-0.7,°C
Fish Creek 37th St,8/12/2002 0:00,Water Temperature (Field),13.7,,13.7,°C
Fish Creek 37th St,10/18/2011 9:55,Water Temperature (Field),1.6,,1.6,°C
Fish Creek 37th St,11/29/2005 0:00,Water Temperature (Field),-0.6,,-0.6,°C
Fish Creek 37th St,5/23/2001 0:00,Water Temperature (Field),12.3,,12.3,°C
Fish Creek 37th St,7/5/2016 12:21,Water Temperature (Field),16.3,,16.3,°C
Fish Creek 37th St,8/3/2016 10:07,Water Temperature (Field),15.8,,15.8,°C
Fish Creek 37th St,6/19/2012 10:21,Water Temperature (Field),12.1,,12.1,°C
Fish Creek 37th St,5/12/2009 11:00,Water Temperature (Field),8.6,,8.6,°C
Fish Creek 37th St,4/13/2010 10:20,Water Temperature (Field),2,,2,°C
Fish Creek 37th St,2/9/2017 11:22,Water Temperature (Field),0.5,,0.5,°C
Fish Creek 37th St,3/22/2005 0:00,Water Temperature (Field),-1.2,,-1.2,°C
Fish Creek 37th St,3/26/2001 0:00,Water Temperature (Field),-0.7,,-0.7,°C
Fish Creek 37th St,4/19/2011 9:50,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,3/17/2009 10:15,Water Temperature (Field),0.8,,0.8,°C
Fish Creek 37th St,9/29/2009 10:10,Water Temperature (Field),8.9,,8.9,°C
Fish Creek 37th St,8/19/2014 10:44,Water Temperature (Field),18.7,,18.7,°C
Fish Creek 37th St,9/7/2005 0:00,Water Temperature (Field),10.5,,10.5,°C
Fish Creek 37th St,4/19/2004 0:00,Water Temperature (Field),4.7,,4.7,°C
Fish Creek 37th St,8/4/2009 10:25,Water Temperature (Field),15.7,,15.7,°C
Fish Creek 37th St,2/14/2012 10:14,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,2/19/2008 12:00,Water Temperature (Field),2.3,,2.3,°C
Fish Creek 37th St,7/7/2009 10:20,Water Temperature (Field),15.6,,15.6,°C
Fish Creek 37th St,6/6/2017 9:32,Water Temperature (Field),13.5,,13.5,°C
Fish Creek 37th St,2/17/2009 9:50,Water Temperature (Field),0.9,,0.9,°C
Fish Creek 37th St,3/1/2021 9:10,Water Temperature (Field),0.6,,0.6,°C
Fish Creek 37th St,4/5/2021 9:51,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,4/3/2018 9:38,Water Temperature (Field),0.8,,0.8,°C
Fish Creek 37th St,3/6/2018 9:43,Water Temperature (Field),0.5,,0.5,°C
Fish Creek 37th St,1/3/2018 9:27,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,2/6/2018 10:20,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,7/23/2018 9:58,Water Temperature (Field),15.9,,15.9,°C
Fish Creek 37th St,8/7/2018 10:44,Water Temperature (Field),17.7,,17.7,°C
Fish Creek 37th St,6/5/2018 9:50,Water Temperature (Field),13.1,,13.1,°C
Fish Creek 37th St,5/7/2018 10:01,Water Temperature (Field),9.3,,9.3,°C
Fish Creek 37th St,9/4/2018 10:16,Water Temperature (Field),10.9,,10.9,°C
Fish Creek 37th St,9/6/2022 9:17,Water Temperature (Field),12.2,,12.2,°C
Fish Creek 37th St,6/5/2023 9:15,Water Temperature (Field),16.8,,16.8,°C
Fish Creek 37th St,10/3/2022 9:22,Water Temperature (Field),9.6,,9.6,°C
Fish Creek 37th St,12/5/2022 9:43,Water Temperature (Field),2.5,,2.5,°C
Fish Creek 37th St,2/6/2023 9:09,Water Temperature (Field),1.9,,1.9,°C
Fish Creek 37th St,10/31/2022 9:21,Water Temperature (Field),2.4,,2.4,°C
Fish Creek 37th St,3/6/2023 9:41,Water Temperature (Field),1.6,,1.6,°C
Fish Creek 37th St,8/8/2023 9:23,Water Temperature (Field),15.053,,15.053,°C
Fish Creek 37th St,5/6/2020 9:35,Water Temperature (Field),6,,6,°C
Fish Creek 37th St,1/6/2020 10:08,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,7/3/2023 10:51,Water Temperature (Field),18.056,,18.056,°C
